,Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
76,Male,99.5,-3.1323895,15.868581,0.10457139,13.6140785,13.828733,14.18868,14.888878,15.868581,17.185122,18.11512,18.880377,20.31587,21.54088
77,Male,100.5,-3.114911,15.898875,0.105390266,13.624666,13.841008,14.203869,14.910057,15.898875,17.229095,18.169813,18.944593,20.399794,21.643684
78,Male,101.5,-3.0972264,15.929917,0.10620426,13.635877,13.853921,14.219722,14.931942,15.929917,17.273832,18.22525,19.009518,20.484293,21.746887
79,Male,102.5,-3.0793831,15.961695,0.107012786,13.647711,13.867472,14.236237,14.954527,15.961695,17.319315,18.28141,19.07512,20.569332,21.85044
80,Male,103.5,-3.0614238,15.994195,0.107815325,13.660169,13.88166,14.253408,14.977803,15.994195,17.365524,18.338268,19.141375,20.654875,21.954298
81,Male,104.5,-3.043386,16.027407,0.108611375,13.67325,13.896484,14.271235,15.001765,16.027407,17.412443,18.3958,19.208254,20.740887,22.058418
82,Male,105.5,-3.02531,16.061316,0.10940039,13.686956,13.911944,14.289715,15.026405,16.061316,17.460049,18.453983,19.275732,20.827332,22.162758
83,Male,106.5,-3.0072258,16.095913,0.11018191,13.701287,13.928038,14.308843,15.051716,16.095913,17.508327,18.512796,19.34378,20.914175,22.267271
84,Male,107.5,-2.9891646,16.131186,0.11095548,13.716241,13.944763,14.328616,15.077692,16.131186,17.557259,18.572216,19.412376,21.001385,22.37192
85,Male,108.5,-2.9711483,16.167122,0.11172069,13.731816,13.962119,14.3490305,15.104325,16.167122,17.606829,18.632223,19.481493,21.088928,22.476658
86,Male,109.5,-2.953208,16.203712,0.11247706,13.748014,13.980103,14.370083,15.13161,16.203712,17.657015,18.692791,19.551104,21.176771,22.58145
87,Male,110.5,-2.935364,16.240942,0.1132242,13.764833,13.9987135,14.391769,15.159537,16.240942,17.707804,18.753902,19.621185,21.264881,22.686255
88,Male,111.5,-2.9176352,16.278803,0.113961734,13.78227,14.017947,14.414086,15.188103,16.278803,17.759178,18.815536,19.691711,21.353228,22.791033
